,Name,Author
52,art-der-kanalisation-2017-umweltatlas-wfs-16d303f4,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
53,art-der-kanalisation-2017-umweltatlas-wms-19261f4f,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
54,atkis-bahnstrecke-linien-wfs-92d97b65,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
55,atkis-bahnverkehr-flache-wfs-355d2aa3,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
56,atkis-bahnverkehrsanlage-flache-wfs-9f5d6464,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
57,atkis-bahnverkehrsanlage-punkte-wfs-ead21a1a,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
58,atkis-basis-dlm-prasentationsdienst-wms-079ac61e,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
59,atkis-bauwerk-im-gewasserbereich-flache-wfs-41325f27,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
60,atkis-bauwerk-im-gewasserbereich-linien-wfs-cd3c9563,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
61,atkis-bauwerk-im-gewasserbereich-punkte-wfs-683dadf7,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
62,atkis-bauwerk-im-verkehrsbereich-flache-wfs-f6343e8f,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
63,atkis-bauwerk-im-verkehrsbereich-linien-wfs-6befb452,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
64,atkis-bauwerk-im-verkehrsbereich-punkte-wfs-20d0d0f1,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
65,atkis-bauwerk-oder-anlage-fur-industrie-und-gewerbe-flache-wfs-a2498df4,Senatsverwaltung für Stadtentwicklung und Wohnen  Berlin
66,atkis-bauwerk-oder-anlage-fur-industrie-und-gewerbe-linien-wfs-ae630854,Senatsverwaltung für Stadtentwicklung und Wohnen  Berlin
67,atkis-bauwerk-oder-anlage-fur-industrie-und-gewerbe-punkte-wfs-d3bc3396,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
68,atkis-bauwerk-oder-anlage-fur-sport-freizeit-und-erholung-flache-wfs-b43199a8,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
69,atkis-bauwerk-oder-anlage-fur-sport-freizeit-und-erholung-linien-wfs-7e9c8524,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
70,atkis-denkmalschutzrecht-flache-wfs-8c96ec7e,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
71,atkis-denkmalschutzrecht-linien-wfs-eca7b7cd,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
72,atkis-denkmalschutzrecht-punkte-wfs-6f5dade3,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
73,atkis-dgm-1m-rasterweite-atom-fa02f9e1,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
74,atkis-dgm-digitales-gelandemodell-wms-b0485f06,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
75,atkis-dom-digitales-oberflachenmodell-atom-967420e0,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
